,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_encoding_layers,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,5.754546689987182,0.39204836501135765,0.6658146858215332,0.04256189310387897,32,1,0.001,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.001}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
1,3.466266918182373,0.4043910393588358,0.7104517459869385,0.06334759929452495,32,1,0.01,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.01}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
2,2.6877465724945067,0.9167260327530016,0.5064684867858886,0.18676019802360633,32,1,0.1,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
3,8.65103588104248,0.6417559367875415,0.7146459102630616,0.07823616524801218,32,3,0.001,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.001}",0.9978070175438597,0.9989023051591658,0.995609220636663,0.9978046103183315,0.9978046103183315,0.9975855527952703,0.0010756156024023453,12,,,,,,,,1
4,3.703822612762451,0.5349019827275444,0.7179769039154053,0.07470354971839756,32,3,0.01,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.01}",0.9989035087719298,0.9989023051591658,0.995609220636663,0.9978046103183315,0.9978046103183315,0.9978048510408843,0.0012026842760720392,11,,,,,,,,1
5,3.0542099475860596,0.49853791508839723,0.6652897357940674,0.07824704782804515,32,3,0.1,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
6,6.997527027130127,0.20676505967309247,0.9312883377075195,0.03498870633005171,32,5,0.001,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.001}",0.9989035087719298,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9980243900090511,0.00043955938143933613,9,,,,,,,,1
7,4.4983399391174315,0.37323765780798435,0.949638557434082,0.08142563283069258,32,5,0.01,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.01}",0.9989035087719298,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9980243900090511,0.00043955938143933613,9,,,,,,,,1
8,4.050239419937133,0.6961883247541095,1.0322149276733399,0.04660685870617007,32,5,0.1,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
9,7.596339702606201,0.6300937479403358,1.7075418949127197,0.09961513756755336,32,10,0.001,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.001}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
10,6.623376703262329,0.4169617719283324,1.566456127166748,0.2854386196695904,32,10,0.01,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.01}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
11,4.7644362449646,1.2320619398266903,0.8804615497589111,0.030716255114103794,32,10,0.1,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
