,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_temperature,param_visible_qubits,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,6.422999238967895,0.45889280320497133,0.7732737064361572,0.03704433211648359,32,0.001,32,1.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 1.0, 'visible_qubits': 'single'}",0.7017543859649122,0.7244785949506037,0.70801317233809,0.7113062568605928,0.703622392974753,0.7098349606177904,0.008047500668944853,10,,,,,,,,1
1,6.390701961517334,0.4351847161236716,0.763926649093628,0.019233034584784675,32,0.001,32,1.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 1.0, 'visible_qubits': 'half'}",0.7017543859649122,0.7244785949506037,0.70801317233809,0.7113062568605928,0.703622392974753,0.7098349606177904,0.008047500668944853,10,,,,,,,,1
2,9.730375623703003,0.16384454956946112,1.2001294136047362,0.06969047226413154,32,0.001,32,1.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 1.0, 'visible_qubits': 'full'}",0.7171052631578947,0.725576289791438,0.7233809001097695,0.7145993413830956,0.70801317233809,0.7177349933560576,0.0062945193650116565,6,,,,,,,,1
3,3.4831461906433105,0.0917337776451061,0.6333008766174316,0.07148391075200124,32,0.001,32,10.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'single'}",0.7006578947368421,0.7200878155872668,0.7069154774972558,0.7102085620197585,0.703622392974753,0.7082984285631753,0.006705130511064417,14,,,,,,,,1
4,3.503146505355835,0.11012801958029206,0.6711364269256592,0.07070249049714859,32,0.001,32,10.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'half'}",0.7006578947368421,0.7200878155872668,0.7069154774972558,0.7102085620197585,0.703622392974753,0.7082984285631753,0.006705130511064417,14,,,,,,,,1
5,6.780583667755127,0.7135702423334093,1.175028419494629,0.03220487686623794,32,0.001,32,10.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'full'}",0.7050438596491229,0.7135016465422612,0.7113062568605928,0.703622392974753,0.7003293084522503,0.706760692895796,0.004904319656666648,17,,,,,,,,1
6,3.427282476425171,0.033500920703020375,0.5657924175262451,0.014420588971793465,32,0.001,32,100.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'single'}",0.7017543859649122,0.7189901207464325,0.70801317233809,0.7102085620197585,0.703622392974753,0.7085177268087892,0.006041384053788641,12,,,,,,,,1
7,3.4772119522094727,0.10758346777982225,0.642388105392456,0.07580465210508128,32,0.001,32,100.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'half'}",0.7017543859649122,0.7189901207464325,0.70801317233809,0.7102085620197585,0.703622392974753,0.7085177268087892,0.006041384053788641,12,,,,,,,,1
8,5.748332977294922,0.09211685571307254,1.134882402420044,0.024798703455971675,32,0.001,32,100.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'temperature': 100.0, 'visible_qubits': 'full'}",0.7006578947368421,0.712403951701427,0.7102085620197585,0.7091108671789242,0.7025246981339188,0.7069811947541741,0.004565132686970299,16,,,,,,,,1
9,4.77160153388977,0.4668710459447142,0.5925394058227539,0.0203009126025318,32,0.01,32,1.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 1.0, 'visible_qubits': 'single'}",0.7028508771929824,0.7321624588364435,0.7156970362239298,0.712403951701427,0.712403951701427,0.715103655131242,0.009550520921876093,7,,,,,,,,1
10,4.878261280059815,0.4439702012267213,0.6371297836303711,0.045808408357214614,32,0.01,32,1.0,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 1.0, 'visible_qubits': 'half'}",0.7028508771929824,0.7321624588364435,0.7156970362239298,0.712403951701427,0.712403951701427,0.715103655131242,0.009550520921876093,7,,,,,,,,1
11,8.895995044708252,0.8482581207607159,1.164280605316162,0.031463682102029204,32,0.01,32,1.0,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 1.0, 'visible_qubits': 'full'}",0.7236842105263158,0.7332601536772777,0.7277716794731065,0.7189901207464325,0.7233809001097695,0.7254174129065805,0.0048065083633974425,5,,,,,,,,1
12,6.707324743270874,0.6921228868748288,0.5906360626220704,0.02257074977392929,32,0.01,32,10.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'temperature': 10.0, 'visible_qubits': 'single'}",0.6973684210526315,0.7113062568605928,0.7058177826564215,0.7058177826564215,0.703622392974753,0.7047865272401641,0.004494827199971736,21,,,,,,,,1
