,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,26.00669345855713,2.449462693365754,1.0181200981140137,0.06115019145488351,32,0.001,1,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,25,,,,,,,,1
1,26.064321279525757,2.5098111372270395,1.1048280715942382,0.07218099045898921,32,0.001,1,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,25,,,,,,,,1
2,24.81426076889038,2.0173413081931235,0.8897843837738038,0.09472023402784789,32,0.001,1,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,25,,,,,,,,1
3,17.87530493736267,2.584379049480925,1.049987506866455,0.2137784868864672,32,0.001,1,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",0.0010964912280701754,0.0021953896816684962,0.006586169045005488,0.0043907793633369925,0.0010976948408342481,0.0030733048317830797,0.002128732768235311,19,,,,,,,,1
4,17.786447477340698,2.677684919930494,0.9267620086669922,0.07220211428066116,32,0.001,1,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",0.0010964912280701754,0.0021953896816684962,0.006586169045005488,0.0043907793633369925,0.0010976948408342481,0.0030733048317830797,0.002128732768235311,19,,,,,,,,1
5,16.91827082633972,2.637310628533996,0.9179389953613282,0.03734952937006304,32,0.001,1,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.0010964912280701754,0.0021953896816684962,0.006586169045005488,0.0043907793633369925,0.0010976948408342481,0.0030733048317830797,0.002128732768235311,19,,,,,,,,1
6,18.885520458221436,0.9315977374311496,1.1884865283966064,0.11013691247729791,32,0.001,1,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.0712719298245614,0.05598243688254665,0.009879253567508232,0.04171240395170143,0.08342480790340286,0.05245416642594412,0.02550978718540404,16,,,,,,,,1
7,18.96126022338867,1.0450685890394589,1.1836581230163574,0.04135343229706411,32,0.001,1,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.0712719298245614,0.05598243688254665,0.009879253567508232,0.04171240395170143,0.08342480790340286,0.05245416642594412,0.02550978718540404,16,,,,,,,,1
8,18.513379669189455,0.771161608936591,1.2419889926910401,0.17971481284219984,32,0.001,1,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",0.0712719298245614,0.05598243688254665,0.009879253567508232,0.04171240395170143,0.08342480790340286,0.05245416642594412,0.02550978718540404,16,,,,,,,,1
9,22.598266887664796,2.042327231466194,1.4191091537475586,0.047760125082239736,32,0.001,1,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.49780701754385964,0.9231613611416026,0.03951701427003293,0.3413830954994512,0.9143798024149287,0.543249658173975,0.34018589190734966,10,,,,,,,,1
10,21.790505266189577,2.0050052569205223,1.535403299331665,0.18481659663749628,32,0.001,1,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'half'}",0.49780701754385964,0.9231613611416026,0.03951701427003293,0.3413830954994512,0.9143798024149287,0.543249658173975,0.34018589190734966,10,,,,,,,,1
11,21.4725079536438,2.0758638595123418,1.4433974266052245,0.07065165919990835,32,0.001,1,15,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'full'}",0.49780701754385964,0.9231613611416026,0.03951701427003293,0.3413830954994512,0.9143798024149287,0.543249658173975,0.34018589190734966,10,,,,,,,,1
12,13.341202306747437,0.43944918435106883,0.8067829132080078,0.20666444652283977,32,0.01,1,1,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,25,,,,,,,,1
