,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,39.61246366500855,0.4805085415053787,0.07315187454223633,0.001111299083255797,0.7,0.1,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.9993197129627598,0.9996708288529482,0.9993855471921701,0.9996269393666747,0.9994733261647173,0.999495270907854,0.00013527648188391104,34,,,,,,,,1
1,42.95763530731201,0.27152698582571116,0.0787111759185791,0.004554492241950615,0.7,0.1,3,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9993416577058966,0.9996488841098115,0.9994074919353069,0.9995830498804011,0.9994294366784436,0.9994821040619719,0.00011495359436202643,36,,,,,,,,1
2,47.05556092262268,0.9421517031674552,0.07405757904052734,0.0017447132329881571,0.7,0.1,3,100,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.9993197129627598,0.9996927735960851,0.9994294366784436,0.9996269393666747,0.9994294366784436,0.9994996598564814,0.0001383737432942196,32,,,,,,,,1
3,83.32099671363831,2.0294812438162517,0.12344136238098144,0.005660635860338895,0.7,0.1,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.9994074919353069,0.9997147183392219,0.9994513814215804,0.9996708288529482,0.9995172156509908,0.9995523272400095,0.0001206761358368102,22,,,,,,,,1
4,90.69774103164673,1.32786800507361,0.1247823715209961,0.004470830294761581,0.7,0.1,3,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9994074919353069,0.9997147183392219,0.9994733261647173,0.9996927735960851,0.9994733261647173,0.9995523272400095,0.00012613933036232093,22,,,,,,,,1
5,96.35490341186524,2.1182535375628277,0.12450861930847168,0.00841742581521958,0.7,0.1,3,200,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",0.9994294366784436,0.9997147183392219,0.9994733261647173,0.9997147183392219,0.9995172156509908,0.9995698830345191,0.00012147163644670625,7,,,,,,,,1
6,72.0953544139862,1.9830010535747176,0.1350116729736328,0.0034981449330235706,0.7,0.1,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",0.9994074919353069,0.9996927735960851,0.9994294366784436,0.9996488841098115,0.9995391603941276,0.999543549342755,0.00011394373355350668,25,,,,,,,,1
7,79.96052474975586,2.20315487582713,0.13287854194641113,0.0025713397442948854,0.7,0.1,6,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.9994294366784436,0.9996927735960851,0.9994513814215804,0.9996927735960851,0.9995172156509908,0.9995567161886371,0.00011478590121026507,15,,,,,,,,1
8,86.5884672164917,1.3081721492888176,0.14003510475158693,0.0024890262469543585,0.7,0.1,6,100,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",0.9994294366784436,0.9996488841098115,0.9994294366784436,0.9997147183392219,0.9995172156509908,0.9995479382913823,0.00011578841719831432,24,,,,,,,,1
9,128.10410723686218,2.4869072867541324,0.2571403503417969,0.008681942120802817,0.7,0.1,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",0.9994294366784436,0.9996708288529482,0.9994952709078541,0.9996927735960851,0.9994952709078541,0.9995567161886371,0.00010515173517708194,15,,,,,,,,1
10,145.18677282333374,3.3521351926234018,0.27824578285217283,0.02997571384188369,0.7,0.1,6,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9994513814215804,0.9997147183392219,0.9994952709078541,0.9996927735960851,0.9995391603941276,0.9995786609317738,0.00010606373608020684,3,,,,,,,,1
11,157.9003255367279,5.072579535412147,0.28038759231567384,0.02692591152163915,0.7,0.1,6,200,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.9}",0.9994513814215804,0.9996708288529482,0.9994513814215804,0.9996927735960851,0.9994952709078541,0.9995523272400098,0.00010714789102886183,21,,,,,,,,1
12,47.677507162094116,1.6120782126876978,0.0803105354309082,0.009075739199157466,0.8,0.1,3,100,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.9993197129627598,0.9996927735960851,0.9994513814215804,0.9996488841098115,0.9995172156509908,0.9995259935482455,0.00013499138887603575,28,,,,,,,,1
