,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,25.457698917388917,2.9334297910802394,1.1153206825256348,0.18797232951484047,32,0.001,1,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.0010964912280701754,0.0010976948408342481,0.029637760702524697,0.0021953896816684962,0.0021953896816684962,0.007244545226953223,0.011207375967806608,22,,,,,,,,1
1,25.607313919067384,2.720170636954184,1.028975009918213,0.032617572694275995,32,0.001,1,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.0010964912280701754,0.0010976948408342481,0.029637760702524697,0.0021953896816684962,0.0021953896816684962,0.007244545226953223,0.011207375967806608,22,,,,,,,,1
2,24.757402753829957,2.106695465661152,0.929199504852295,0.14883316485424303,32,0.001,1,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.0010964912280701754,0.0010976948408342481,0.029637760702524697,0.0021953896816684962,0.0021953896816684962,0.007244545226953223,0.011207375967806608,22,,,,,,,,1
3,19.931662178039552,3.8974965428240953,1.0399845123291016,0.17930329065654865,32,0.001,1,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",0.003289473684210526,0.006586169045005488,0.03402854006586169,0.007683863885839737,0.0021953896816684962,0.010756687272517187,0.011810755212934341,19,,,,,,,,1
4,19.842928171157837,3.6212068292125514,0.8680025100708008,0.10558412903957035,32,0.001,1,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",0.003289473684210526,0.006586169045005488,0.03402854006586169,0.007683863885839737,0.0021953896816684962,0.010756687272517187,0.011810755212934341,19,,,,,,,,1
5,18.510882329940795,3.4524810582550094,0.8612672805786132,0.08909610608932882,32,0.001,1,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.003289473684210526,0.006586169045005488,0.03402854006586169,0.007683863885839737,0.0021953896816684962,0.010756687272517187,0.011810755212934341,19,,,,,,,,1
6,15.682957458496094,1.1550389469637214,1.0060793876647949,0.09089891145429868,32,0.001,1,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.19188596491228072,0.10208562019758508,0.025246981339187707,0.1668496158068057,0.18221734357848518,0.13365710516686885,0.06260982867877064,13,,,,,,,,1
7,15.4306010723114,1.389060607041946,0.9648840427398682,0.0863675839241756,32,0.001,1,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.19188596491228072,0.10208562019758508,0.025246981339187707,0.1668496158068057,0.18221734357848518,0.13365710516686885,0.06260982867877064,13,,,,,,,,1
8,14.92141671180725,0.9119044155309096,0.9248499870300293,0.020835112586544878,32,0.001,1,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",0.19188596491228072,0.10208562019758508,0.025246981339187707,0.1668496158068057,0.18221734357848518,0.13365710516686885,0.06260982867877064,13,,,,,,,,1
9,20.459720420837403,3.125758874739077,1.0713346481323243,0.033529019180262826,32,0.001,1,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.09210526315789473,0.9517014270032931,0.015367727771679473,0.9637760702524698,0.6750823271130626,0.53960656305968,0.41065299224640595,10,,,,,,,,1
10,20.466865062713623,3.3119272615119644,1.3117283821105956,0.30235720016024037,32,0.001,1,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'half'}",0.09210526315789473,0.9517014270032931,0.015367727771679473,0.9637760702524698,0.6750823271130626,0.53960656305968,0.41065299224640595,10,,,,,,,,1
11,20.17820496559143,3.4360260493904735,1.1064735889434814,0.046335726360630894,32,0.001,1,15,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'full'}",0.09210526315789473,0.9517014270032931,0.015367727771679473,0.9637760702524698,0.6750823271130626,0.53960656305968,0.41065299224640595,10,,,,,,,,1
12,14.34253740310669,2.2679820629916816,0.7288190364837647,0.0504770423179537,32,0.01,1,1,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.0010964912280701754,0.0010976948408342481,0.003293084522502744,0.0021953896816684962,0.0021953896816684962,0.0019756099909488322,0.0008216970459049825,25,,,,,,,,1
13,14.367874240875244,2.4455792970025767,0.7161516666412353,0.07040898399317135,32,0.01,1,1,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.0010964912280701754,0.0010976948408342481,0.003293084522502744,0.0021953896816684962,0.0021953896816684962,0.0019756099909488322,0.0008216970459049825,25,,,,,,,,1
