,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,63.47807292938232,5.351497792078896,2.223223066329956,0.5402809992504555,32,0.001,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
1,32.5196795463562,2.0215064509883915,1.1538800239562987,0.10870232775938314,32,0.001,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
2,34.530126619338986,3.3117139761834253,1.6587685108184815,0.47701785873771685,32,0.001,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
3,38.16296010017395,3.614582010876621,1.821840190887451,0.18411116096031865,32,0.001,1,15,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
4,23.496912956237793,1.582741626916535,0.7961870670318604,0.11673954719006506,32,0.01,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9967069154774972,0.9978046103183315,0.9980243900090511,0.0008216970459049945,6,,,,,,,,1
5,18.455634546279907,3.9975692667472833,0.9717274665832519,0.16415174666891985,32,0.01,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.995609220636663,0.9978048510408841,0.0012026842760720392,7,,,,,,,,1
6,18.609839057922365,3.24999126918838,0.9971833229064941,0.27617947969171663,32,0.01,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
7,19.406872606277467,3.3041708363982263,0.964178991317749,0.03491481702441413,32,0.01,1,15,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.995609220636663,0.9978048510408841,0.0012026842760720392,7,,,,,,,,1
8,10.38203854560852,1.2883252884388243,0.730125904083252,0.1271729006416705,32,0.1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1}",0.9967105263157895,0.9890230515916575,0.9978046103183315,0.9978046103183315,0.9945115257958288,0.9951708648679876,0.0033007309390787167,10,,,,,,,,1
9,11.512697124481202,1.5426064993281137,0.7377429485321045,0.023119817901463967,32,0.1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5}",0.9594298245614035,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9967069154774972,0.9901296531669459,0.015365605835366784,12,,,,,,,,1
10,11.630506324768067,0.9649862606564139,0.7297220706939698,0.15027500672329042,32,0.1,1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10}",0.9967105263157895,0.9945115257958288,0.9890230515916575,0.9945115257958288,0.9890230515916575,0.9927559362181524,0.0031518828544305215,11,,,,,,,,1
11,10.915123844146729,1.946846234984055,0.5527204990386962,0.05479299699441083,32,0.1,1,15,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15}",0.9989035087719298,0.9934138309549945,0.9923161361141603,0.9978046103183315,0.9967069154774972,0.9958290003273825,0.002541638451888454,9,,,,,,,,1
